ID,room_number,subway,address,parking,home_renovation,balcony,windows,additional_amenities,ceiling_height,garbage_chute,total_area,loggia,separate_bathroom,shared_bathroom,building_type,floors_number,apartment_floor,freight_elevator,passenger_elevator,parking_0,parking_1,parking_2,parking_3,parking_4,parking_5,home_renovation_0,home_renovation_1,home_renovation_2,home_renovation_3,windows_0,windows_1,windows_2,windows_3,additional_amenities_0,additional_amenities_1,garbage_chute_0,garbage_chute_1,building_type_0,building_type_1,building_type_2,building_type_3,building_type_4,building_type_5,building_type_6,building_type_7,building_type_8,building_type_9,price
274839211,5,433526.99,441333.3333333333,5,2,1,3,1,2.76,1,222.2,0,0,2,4,9,5,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,450000
274767901,5,433526.99,441333.3333333333,0,1,0,3,0,2.76,0,225.0,0,0,1,4,9,5,0,4,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,450000
274995950,2,340903.6144578313,331489.3617021277,0,2,0,1,1,2.76,1,30.0,0,0,1,5,26,19,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,120000
274945807,5,340903.6144578313,441333.3333333333,0,1,1,3,1,2.76,1,222.0,0,0,1,5,9,5,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,450000
272911145,5,410000.0,257500.0,3,2,1,3,1,2.76,1,150.0,0,0,2,2,7,4,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,180000
274748017,5,433526.99,441333.3333333333,0,2,0,2,1,3.2,1,201.0,0,0,3,5,3,3,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,190000
273941734,2,340903.6144578313,331489.3617021277,0,2,0,1,1,2.76,1,64.0,0,0,2,5,26,12,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,205000
274493570,3,433526.99,245454.54545454544,5,2,1,2,1,3.2,1,112.0,0,0,2,5,7,2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,230000
274849101,4,313196.9696969697,592000.0,0,1,0,3,1,2.76,1,190.0,0,0,1,5,5,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,590000
223918678,5,340903.6144578313,441333.3333333333,0,2,0,0,1,2.76,1,255.6,0,1,2,4,9,8,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,850000
274391259,5,340903.6144578313,441333.3333333333,4,2,0,2,1,3.3,0,186.0,0,0,2,9,3,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,190000
272945376,3,340903.6144578313,220555.55555555556,3,2,0,2,1,3.2,1,100.0,0,0,2,5,8,3,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,200000
272612966,5,340903.6144578313,257500.0,0,2,1,0,1,2.76,1,150.0,0,0,2,5,7,4,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,200000
271568490,5,313196.9696969697,397500.0,0,1,0,1,1,2.76,1,140.0,0,0,1,5,7,2,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,300000
264664760,3,340903.6144578313,331489.3617021277,0,2,0,3,1,2.76,1,132.8,0,0,2,4,13,5,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,400000
228923308,5,340903.6144578313,441333.3333333333,5,1,0,2,1,3.0,0,256.0,0,2,2,3,10,8,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,750000
267489303,6,340903.6144578313,523333.3333333333,4,3,0,2,1,4.0,0,380.0,0,1,2,9,6,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,870000
273353104,3,313196.9696969697,331489.3617021277,5,0,0,3,1,3.15,0,112.0,0,2,0,3,13,3,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,350000
273353103,2,313196.9696969697,331489.3617021277,5,0,0,3,1,3.15,0,91.0,0,2,0,3,13,10,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,400000
268321690,3,340903.6144578313,331489.3617021277,5,1,0,2,1,2.76,1,135.0,0,1,1,3,13,5,1,2,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,400000
269496185,4,313196.9696969697,592000.0,5,1,0,2,1,3.2,1,190.0,0,0,2,3,5,4,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,590000
272188531,2,340903.6144578313,331489.3617021277,0,0,0,3,1,4.15,0,44.0,0,1,0,5,26,21,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,135000
272727784,3,313196.9696969697,254347.8260869565,0,2,1,3,1,2.76,1,85.0,0,0,1,5,7,7,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,150000
267110043,2,313196.9696969697,431562.5,0,0,1,1,1,3.0,0,100.0,0,2,0,3,7,5,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,320000
265323319,3,313196.9696969697,331489.3617021277,5,0,0,3,1,3.15,0,133.3,0,2,0,3,13,5,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,400000
265804792,4,313196.9696969697,397500.0,0,0,1,2,1,3.8,0,210.0,0,3,0,5,5,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,400000
239000408,4,340903.6144578313,390000.0,0,0,0,3,1,2.76,0,180.0,0,2,0,5,4,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,450000
271209314,4,313196.9696969697,331489.3617021277,0,0,0,3,1,3.35,0,165.0,0,2,0,3,16,9,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,470000
269889430,4,313196.9696969697,592000.0,0,0,0,3,1,4.05,0,190.0,0,2,0,5,6,4,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,590000
241704098,4,313196.9696969697,331489.3617021277,0,0,0,3,1,3.35,0,168.0,0,2,0,3,16,4,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,600000
239000331,5,433526.99,441333.3333333333,0,0,0,3,1,2.76,0,250.0,0,3,0,3,9,8,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,850000
272823500,3,340903.6144578313,254347.8260869565,5,2,1,3,1,2.76,1,85.0,0,0,1,2,7,7,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,150000
274402813,3,313196.9696969697,258750.0,5,2,0,2,1,2.76,1,105.0,0,0,3,3,17,6,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,195000
270190788,3,313196.9696969697,258750.0,5,2,1,3,1,2.76,1,134.0,0,2,0,4,16,8,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,300000
271265359,2,313196.9696969697,254347.8260869565,3,2,0,2,1,3.2,1,60.0,0,0,1,5,6,5,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,90000
274289253,3,340903.6144578313,254347.8260869565,0,1,1,3,1,2.76,1,85.0,0,0,1,5,7,7,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,150000
274150874,5,313196.9696969697,254347.8260869565,0,1,0,3,1,2.76,1,150.0,0,0,1,5,6,4,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,250000
274849686,4,313196.9696969697,431562.5,5,2,0,2,1,3.2,1,142.0,0,0,2,5,13,12,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,350000
274315381,5,340903.6144578313,441333.3333333333,0,2,0,1,1,2.76,1,222.0,1,0,1,5,9,7,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,450000
273779074,2,313196.9696969697,368333.3333333333,0,0,0,1,1,3.6,1,60.0,0,0,1,2,6,3,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,120000
274217247,3,313196.9696969697,254347.8260869565,0,0,0,2,1,3.8,1,103.0,0,0,1,2,3,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,120000
